affiliation,citations
60116278,54.0
60274485,54.0
60218539,54.0
112920419,54.0
60026365,54.0
60025957,54.0
60027981,54.0
60014146,54.0
60123526,54.0
121513491,54.0
112593200,54.0
60030241,53.0
60070467,53.0
101226917,53.0
60016518,53.0
60008332,53.0
60012627,53.0
60017838,53.0
60017326,53.0
60085748,53.0
60194531,53.0
116113690,53.0
60024559,53.0
60262990,53.0
60016983,53.0
112055031,53.0
100615568,53.0
60066812,53.0
60020475,53.0
60021842,53.0
60025200,53.0
60015894,53.0
100605086,53.0
60104301,53.0
60099073,52.0
60117845,52.0
60021747,52.0
60107436,52.0
60006028,52.0
60013140,52.0
60068696,52.0
60023478,52.0
60015043,52.0
60031101,52.0
60130027,52.0
60003988,52.0
115951158,52.0
60070928,52.0
112647079,52.0
60033774,52.0
60084925,52.0
60016005,51.0
60026548,51.0
60019836,51.0
60002208,51.0
60005813,51.0
60031541,51.0
60138506,51.0
122733890,51.0
60083505,51.0
60104488,51.0
121390176,51.0
60071552,51.0
60071560,51.0
60023137,51.0
60159511,51.0
60020210,51.0
60008377,51.0
122170934,51.0
60009951,51.0
113255257,51.0
60030258,51.0
60017798,50.0
109640173,50.0
122420310,50.0
120966308,50.0
60082376,50.0
60071176,50.0
60011576,50.0
60121680,50.0
60014773,50.0
60025254,50.0
113928635,50.0
60013468,50.0
60010261,50.0
60017776,50.0
60015197,49.0
60027299,49.0
60022109,49.0
60074871,49.0
60009064,49.0
60117630,49.0
60031210,49.0
60069551,49.0
60021684,49.0
60029937,49.0
110915031,49.0
60071082,49.0
120452666,49.0
112701837,49.0
60112834,49.0
101932013,49.0
124658438,49.0
100714132,49.0
60011023,49.0
124658854,49.0
109863316,49.0
60120914,49.0
60029999,49.0
60090643,49.0
60010244,49.0
116169913,49.0
109959448,49.0
60271622,49.0
60090601,49.0
60115348,49.0
60176024,48.0
60017404,48.0
60103558,48.0
60002793,48.0
60097686,48.0
60013194,48.0
60006101,48.0
60015003,48.0
60011779,48.0
60072358,48.0
114490511,48.0
114536406,48.0
106942755,48.0
116241697,48.0
60114700,48.0
120181245,48.0
60016167,48.0
114920866,48.0
60005710,48.0
122263833,48.0
116370747,48.0
60103947,48.0
60115495,47.0
60031482,47.0
60069391,47.0
60004954,47.0
60016278,47.0
60117886,47.0
60024989,47.0
60030622,47.0
112926742,47.0
60042311,47.0
60272237,47.0
100360845,47.0
60103615,47.0
124436455,47.0
123829254,47.0
60027294,47.0
60026125,47.0
60021944,47.0
